,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
776,Male,Loyal Customer,40,Business travel,Business,1988,4,4,4,4,5,4,3.0,1,1,2,4,2.0,1,2,0,0.0
777,Female,Loyal Customer,66,Personal Travel,Eco,402,3,4,4,1,5,5,4.0,1,1,4,1,3.0,1,5,0,0.0
778,Male,Loyal Customer,54,Business travel,Business,3192,3,3,3,3,2,5,5.0,2,2,2,2,5.0,2,5,5,0.0
779,Male,Loyal Customer,55,Business travel,Business,3739,4,2,4,4,3,3,3.0,5,4,5,4,3.0,5,3,30,32.5
780,Male,Loyal Customer,68,Personal Travel,Eco,1005,4,5,3,3,4,3,4.0,4,5,3,4,5.0,5,4,0,3.0
781,Male,disloyal Customer,34,Business travel,Business,356,2,2,2,5,2,2,2.0,2,4,5,4,5.0,4,2,0,0.0
782,Male,Loyal Customer,42,Business travel,Eco,1107,2,1,1,1,2,2,2.0,2,1,5,2,1.5,2,2,0,0.0
783,Male,Loyal Customer,47,Business travel,Business,420,5,5,5,5,4,5,5.0,4,4,4,4,4.0,4,5,0,0.0
784,Male,Loyal Customer,31,Personal Travel,Eco,493,1,4,1,1,2,1,2.0,2,3,3,4,3.0,5,2,0,0.0
785,Male,Loyal Customer,60,Personal Travel,Business,216,1,5,1,5,5,5,4.0,4,4,1,5,4.0,4,3,2,14.0
786,Male,disloyal Customer,21,Business travel,Eco,258,2,1,2,2,5,2,5.0,5,2,4,2,2.0,3,5,1,0.0
787,Male,Loyal Customer,65,Personal Travel,Eco,899,5,4,5,4,5,5,2.0,5,1,2,4,4.0,3,5,30,32.0
788,Male,Loyal Customer,28,Personal Travel,Eco,916,4,1,4,2,4,4,4.0,4,1,4,3,4.0,2,4,0,0.0
789,Male,Loyal Customer,34,Personal Travel,Eco,680,4,5,4,1,4,4,4.0,4,4,4,4,4.0,5,4,30,32.5
790,Female,disloyal Customer,25,Business travel,Business,259,2,0,2,5,3,2,3.0,3,3,5,5,3.0,4,3,0,2.0
791,Female,disloyal Customer,29,Business travel,Business,919,5,5,5,3,2,5,2.0,2,4,3,4,5.0,4,2,0,10.0
792,Female,Loyal Customer,59,Business travel,Business,231,5,5,5,5,2,1,1.0,4,4,4,4,3.0,4,5,0,0.0
793,Female,disloyal Customer,21,Business travel,Business,201,4,4,4,1,4,4,3.0,4,3,2,4,3.0,4,4,0,0.0
794,Male,Loyal Customer,30,Business travel,Eco,141,5,2,2,2,5,5,5.0,5,5,2,1,2.0,3,5,30,32.5
795,Female,Loyal Customer,10,Personal Travel,Eco,1440,1,4,1,4,4,1,4.0,4,5,3,3,5.0,5,4,0,7.0
796,Female,Loyal Customer,50,Business travel,Eco,2125,3,2,2,2,2,4,4.0,3,3,3,3,4.0,3,4,30,32.5
797,Male,Loyal Customer,61,Personal Travel,Eco,337,2,5,2,3,5,2,1.0,5,4,5,4,5.0,5,5,0,0.0
798,Female,Loyal Customer,50,Business travel,Business,2610,3,3,3,3,2,5,5.0,4,4,4,4,3.0,4,4,0,0.0
799,Female,Loyal Customer,53,Business travel,Eco,749,2,4,4,4,2,3,3.0,2,2,2,2,4.0,2,2,30,32.5
800,Male,Loyal Customer,39,Business travel,Business,1620,2,2,2,2,5,5,4.0,5,5,5,5,4.0,5,3,0,0.0
801,Male,Loyal Customer,49,Business travel,Eco,1533,5,2,2,2,5,5,5.0,5,3,4,5,5.0,3,5,0,0.0
802,Male,Loyal Customer,44,Business travel,Business,3053,3,5,3,3,2,4,1.0,5,5,5,3,2.0,5,1,5,2.0
803,Female,Loyal Customer,24,Business travel,Business,2507,2,5,5,5,2,2,2.0,3,1,3,3,2.0,3,2,30,32.5
804,Female,Loyal Customer,53,Personal Travel,Eco,693,3,2,3,4,1,4,4.0,5,5,3,5,3.0,5,4,0,1.0
805,Female,Loyal Customer,51,Business travel,Business,2521,1,1,1,1,5,5,5.0,3,4,3,4,5.0,5,5,19,32.5
806,Male,Loyal Customer,37,Personal Travel,Eco,1179,2,4,2,4,2,2,2.0,2,4,3,4,5.0,5,2,0,0.0
807,Female,Loyal Customer,32,Personal Travel,Eco,316,2,4,2,2,2,2,2.0,2,1,1,4,4.0,3,2,0,0.0
808,Female,Loyal Customer,37,Business travel,Eco Plus,817,4,5,5,5,5,4,4.0,4,2,2,3,4.0,5,4,30,32.5
809,Female,Loyal Customer,57,Business travel,Business,107,2,2,2,2,4,1,5.0,4,4,4,3,3.0,4,2,0,0.0
810,Female,Loyal Customer,44,Business travel,Business,563,5,5,5,5,3,4,5.0,4,4,5,4,3.0,4,3,0,0.0
811,Female,Loyal Customer,22,Personal Travel,Eco,1201,1,1,1,3,4,1,4.0,4,4,3,3,2.0,4,4,0,0.0
812,Female,Loyal Customer,60,Business travel,Business,3380,4,4,4,4,5,4,5.0,3,3,3,3,5.0,3,4,0,0.0
813,Female,Loyal Customer,44,Business travel,Business,3594,3,3,3,3,4,4,5.0,5,5,5,5,4.0,5,4,7,13.0
814,Female,Loyal Customer,49,Personal Travel,Eco Plus,1172,2,5,2,3,4,5,5.0,5,5,2,3,5.0,5,4,0,0.0
815,Female,Loyal Customer,43,Personal Travel,Business,312,2,4,2,1,4,5,4.0,1,1,2,4,3.0,1,4,30,32.5
816,Female,Loyal Customer,72,Business travel,Business,3604,5,5,5,5,4,4,5.0,4,4,4,4,3.0,4,3,6,32.5
817,Female,Loyal Customer,29,Business travel,Business,3739,2,2,2,2,4,4,4.0,4,5,3,5,4.0,2,4,0,32.5
818,Male,Loyal Customer,20,Business travel,Eco Plus,216,4,3,3,3,4,4,3.0,4,2,3,1,4.0,4,4,11,5.0
819,Male,Loyal Customer,39,Business travel,Business,3582,4,4,4,4,4,5,4.0,4,4,4,4,5.0,4,4,1,0.0
820,Female,Loyal Customer,51,Personal Travel,Eco,429,3,5,3,5,4,3,2.0,4,4,3,4,3.0,4,1,0,0.0
821,Male,Loyal Customer,48,Business travel,Business,308,0,0,0,5,2,5,5.0,4,4,4,4,5.0,4,4,0,0.0
822,Male,Loyal Customer,30,Personal Travel,Eco,147,4,1,4,2,2,4,2.0,2,2,2,2,4.0,2,2,6,4.0
823,Female,Loyal Customer,33,Business travel,Business,304,3,1,1,1,4,4,4.0,3,3,3,3,3.0,3,2,4,8.0
824,Female,Loyal Customer,19,Personal Travel,Business,1416,4,2,4,3,1,4,1.0,1,2,2,3,3.0,4,1,0,0.0
825,Female,Loyal Customer,30,Business travel,Business,3563,5,5,5,5,4,4,4.0,4,4,2,4,5.0,5,4,0,20.0
826,Male,Loyal Customer,20,Personal Travel,Eco,173,5,5,5,5,3,5,2.0,3,5,2,4,3.0,4,3,0,0.0
827,Male,Loyal Customer,25,Business travel,Business,1766,2,5,5,5,2,2,2.0,2,4,2,3,4.0,3,2,0,26.0
828,Female,Loyal Customer,55,Business travel,Business,407,3,3,4,3,3,5,4.0,4,4,4,4,5.0,4,5,0,0.0
829,Male,Loyal Customer,37,Business travel,Business,1089,2,4,4,4,3,4,3.0,2,2,2,2,2.0,2,3,0,12.0
830,Male,Loyal Customer,36,Business travel,Business,1262,2,2,5,2,4,5,4.0,5,5,5,5,4.0,5,3,14,0.0
831,Male,Loyal Customer,45,Business travel,Business,1541,3,2,2,2,2,4,3.0,3,3,3,3,2.0,3,2,0,0.0
832,Male,Loyal Customer,64,Personal Travel,Eco,1180,3,5,3,1,2,3,2.0,2,3,2,5,4.0,5,2,12,3.0
833,Female,Loyal Customer,37,Business travel,Business,2452,5,5,5,5,4,5,4.0,5,5,5,5,5.0,5,4,30,32.5
834,Male,Loyal Customer,12,Business travel,Business,528,3,3,3,3,3,3,3.0,3,2,4,3,2.0,3,3,0,0.0
835,Female,Loyal Customer,61,Business travel,Eco,404,2,5,5,5,4,4,3.0,2,2,2,2,2.0,2,2,7,0.0
836,Male,Loyal Customer,36,Personal Travel,Eco,1216,3,1,3,3,5,3,5.0,5,1,5,4,4.0,4,5,21,0.0
837,Female,Loyal Customer,34,Business travel,Business,1582,4,4,4,4,3,4,4.0,5,5,5,5,3.0,5,4,12,31.0
838,Female,Loyal Customer,30,Personal Travel,Eco,605,4,4,4,3,5,4,5.0,5,5,5,4,5.0,4,5,0,16.0
839,Female,Loyal Customer,54,Business travel,Business,3420,2,2,2,2,2,5,5.0,4,4,4,5,4.0,4,5,0,0.0
840,Female,Loyal Customer,16,Personal Travel,Eco,1222,1,0,2,4,4,2,4.0,4,5,3,5,5.0,5,4,1,0.0
841,Female,disloyal Customer,21,Business travel,Eco,888,2,1,1,2,3,1,3.0,3,4,3,4,4.0,4,3,7,3.0
842,Female,Loyal Customer,69,Personal Travel,Eco Plus,583,5,4,5,1,4,4,5.0,1,1,5,1,5.0,1,4,0,0.0
843,Male,Loyal Customer,34,Personal Travel,Eco,1047,2,4,2,4,5,2,5.0,5,4,2,4,4.0,5,5,0,0.0
844,Male,disloyal Customer,34,Business travel,Eco,721,4,4,4,4,3,4,3.0,3,1,5,5,4.0,3,3,17,16.0
845,Male,Loyal Customer,56,Business travel,Eco Plus,1106,3,3,3,3,3,3,3.0,3,3,1,3,3.0,3,3,0,14.0
846,Male,Loyal Customer,17,Personal Travel,Eco,1173,3,4,3,3,4,3,4.0,4,4,3,5,4.0,5,4,0,0.0
847,Male,Loyal Customer,41,Business travel,Business,2375,4,4,4,4,2,5,4.0,2,2,2,2,3.0,2,5,0,0.0
848,Female,Loyal Customer,37,Business travel,Eco,403,4,2,2,2,4,4,4.0,4,1,2,3,2.0,3,4,30,32.5
849,Female,Loyal Customer,58,Business travel,Business,1504,3,3,3,3,3,4,4.0,5,5,5,5,4.0,5,5,29,14.0
850,Male,Loyal Customer,19,Personal Travel,Eco,1362,4,4,5,3,1,5,1.0,1,3,5,4,3.0,5,1,28,21.0
851,Female,Loyal Customer,48,Business travel,Business,3418,3,3,5,5,3,4,3.0,3,3,3,3,4.0,3,4,0,8.0
852,Male,disloyal Customer,25,Business travel,Eco,1096,3,4,4,3,3,4,5.0,3,4,5,4,3.0,4,3,0,0.0
853,Female,Loyal Customer,52,Personal Travel,Eco,476,3,4,2,3,2,1,1.0,3,3,4,3,1.5,1,1,30,32.5
854,Male,disloyal Customer,25,Business travel,Eco,479,3,0,3,5,3,3,3.0,3,4,5,2,4.0,2,3,30,32.5
855,Female,Loyal Customer,28,Business travel,Eco,468,2,2,2,2,2,2,2.0,2,3,2,4,4.0,4,2,30,21.0
856,Male,Loyal Customer,36,Business travel,Eco,363,5,2,2,2,5,5,5.0,5,1,2,4,5.0,3,5,0,0.0
857,Male,Loyal Customer,11,Personal Travel,Business,239,1,5,1,4,1,1,1.0,1,4,3,5,3.0,5,1,0,0.0
858,Female,disloyal Customer,48,Business travel,Eco,1181,3,2,2,4,3,3,3.0,3,2,4,3,1.5,4,3,16,0.0
859,Female,Loyal Customer,40,Business travel,Eco,192,2,5,5,5,2,2,2.0,2,4,2,4,4.0,4,2,7,0.0
860,Male,Loyal Customer,51,Business travel,Business,2025,3,5,5,5,3,2,2.0,3,3,3,3,3.0,3,1,0,0.0
861,Female,Loyal Customer,22,Personal Travel,Eco,1011,3,5,3,1,4,3,4.0,4,1,1,4,3.0,3,4,18,31.0
862,Male,Loyal Customer,44,Business travel,Business,964,2,3,3,3,5,3,4.0,2,2,2,2,1.5,2,3,0,0.0
863,Male,Loyal Customer,32,Personal Travel,Eco,528,3,4,3,4,1,3,1.0,1,3,3,4,4.0,4,1,0,0.0
864,Female,disloyal Customer,16,Business travel,Eco,479,3,4,3,3,3,5,4.0,4,5,4,3,4.0,2,4,30,32.5
865,Male,Loyal Customer,43,Business travel,Business,657,2,4,1,4,1,4,3.0,2,2,2,2,1.5,2,2,0,4.0
866,Male,Loyal Customer,56,Business travel,Business,158,5,5,5,5,3,4,4.0,5,5,5,4,5.0,5,4,0,0.0
867,Female,disloyal Customer,42,Business travel,Business,280,4,4,4,3,2,4,2.0,2,2,1,3,3.0,3,2,30,32.5
868,Female,Loyal Customer,60,Business travel,Business,2521,3,3,3,3,5,4,5.0,4,4,4,4,5.0,4,4,0,0.0
869,Male,Loyal Customer,75,Business travel,Business,2350,3,3,3,3,2,5,5.0,4,4,4,4,5.0,4,5,0,7.0
870,Female,Loyal Customer,19,Personal Travel,Eco,862,3,5,4,3,5,4,5.0,5,4,2,5,4.0,5,5,15,0.0
871,Female,Loyal Customer,39,Business travel,Business,3241,2,1,1,1,5,4,4.0,2,2,2,2,1.5,2,1,12,26.0
872,Male,Loyal Customer,21,Personal Travel,Eco,1121,1,5,2,4,1,2,1.0,1,4,3,5,3.0,4,1,0,0.0
873,Male,Loyal Customer,50,Personal Travel,Eco,641,1,5,1,1,5,1,5.0,5,5,5,4,3.0,4,5,0,0.0
874,Male,disloyal Customer,20,Business travel,Eco,984,3,3,3,4,2,3,2.0,2,4,2,4,3.0,3,2,1,0.0
875,Female,Loyal Customer,38,Business travel,Business,1211,5,5,5,5,5,3,5.0,4,4,4,4,1.5,4,1,0,0.0
876,Male,Loyal Customer,37,Business travel,Business,964,2,2,2,2,2,5,5.0,5,5,4,5,1.5,5,3,0,16.0
877,Female,Loyal Customer,49,Business travel,Business,1766,4,1,2,2,1,4,4.0,4,4,3,4,4.0,4,3,30,32.5
878,Male,Loyal Customer,52,Business travel,Business,1091,3,3,3,3,2,4,5.0,4,4,4,4,3.0,4,5,0,0.0
879,Female,Loyal Customer,40,Personal Travel,Eco,1846,2,3,2,4,4,2,1.0,4,4,4,4,4.0,4,4,2,32.5
880,Female,Loyal Customer,42,Business travel,Business,1912,2,2,2,2,3,5,5.0,3,3,4,3,4.0,3,4,30,20.0
881,Female,Loyal Customer,32,Business travel,Business,3012,2,2,2,2,4,4,4.0,4,3,4,4,4.0,4,4,0,0.0
882,Female,Loyal Customer,29,Business travel,Business,481,5,5,5,5,5,4,5.0,5,3,3,4,4.0,4,5,27,32.5
883,Male,Loyal Customer,22,Business travel,Business,2865,3,5,4,5,3,3,3.0,3,3,5,4,4.0,3,3,10,3.0
884,Female,Loyal Customer,47,Business travel,Business,3547,3,3,3,3,4,5,5.0,4,4,4,4,4.0,4,3,0,0.0
885,Male,Loyal Customer,15,Personal Travel,Eco,912,2,5,2,4,3,2,3.0,3,4,5,4,5.0,4,3,4,0.0
886,Female,disloyal Customer,23,Business travel,Eco,222,5,0,5,1,3,5,3.0,3,3,3,5,5.0,5,3,0,7.0
887,Female,disloyal Customer,45,Business travel,Business,1075,2,2,2,4,5,2,5.0,5,4,3,3,1.5,4,5,0,6.0
888,Female,Loyal Customer,28,Business travel,Business,743,3,3,3,3,5,5,5.0,5,5,5,4,4.0,4,5,0,0.0
889,Male,Loyal Customer,42,Business travel,Business,507,2,2,2,2,5,5,5.0,4,4,4,4,5.0,4,3,1,0.0
890,Female,disloyal Customer,37,Business travel,Eco,251,2,4,2,3,2,2,2.0,2,3,1,4,3.0,1,2,0,0.0
891,Male,Loyal Customer,45,Business travel,Business,365,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,3,0,0.0
892,Male,disloyal Customer,27,Business travel,Eco,853,4,4,4,4,5,4,3.0,5,2,1,1,4.0,5,5,0,7.0
893,Male,disloyal Customer,25,Business travel,Eco,1235,5,5,5,1,1,5,1.0,1,5,5,4,3.0,4,1,0,0.0
894,Female,Loyal Customer,16,Personal Travel,Eco,680,1,5,1,4,5,1,5.0,5,3,2,5,3.0,4,5,0,3.0
895,Male,Loyal Customer,53,Business travel,Business,1902,4,4,4,4,2,4,4.0,3,3,4,3,3.0,3,5,0,0.0
896,Female,Loyal Customer,59,Business travel,Eco,139,3,2,3,3,3,4,3.0,3,3,3,3,1.5,3,4,0,8.0
897,Male,Loyal Customer,27,Personal Travel,Eco,645,3,5,3,1,4,3,4.0,4,3,4,5,4.0,4,4,0,0.0
898,Female,Loyal Customer,7,Personal Travel,Eco Plus,2586,3,2,3,3,3,4,4.0,1,2,3,3,4.0,4,4,0,0.0
899,Female,Loyal Customer,55,Business travel,Business,3739,2,1,1,1,3,3,3.0,2,2,3,2,1.5,2,1,30,32.5
900,Male,Loyal Customer,63,Business travel,Business,296,5,5,5,5,5,4,5.0,4,4,4,4,4.0,4,5,24,13.0
901,Female,Loyal Customer,46,Personal Travel,Eco,814,3,0,3,2,5,5,4.0,4,4,3,4,3.0,4,3,0,32.5
902,Female,Loyal Customer,12,Personal Travel,Business,451,3,5,3,2,3,3,3.0,3,1,1,3,4.0,1,3,0,0.0
903,Male,Loyal Customer,58,Business travel,Eco Plus,160,5,1,1,1,5,5,5.0,5,5,3,3,4.0,3,5,0,0.0
904,Male,Loyal Customer,41,Business travel,Business,1514,2,5,5,5,5,3,4.0,2,2,2,2,4.0,2,1,0,0.0
905,Female,Loyal Customer,24,Business travel,Business,3410,5,5,5,5,4,4,4.0,4,3,2,4,4.0,4,4,0,0.0
906,Female,Loyal Customer,25,Business travel,Business,1119,4,4,4,4,5,5,5.0,5,5,3,5,5.0,5,5,29,11.0
907,Female,Loyal Customer,17,Business travel,Eco Plus,794,1,3,3,3,1,1,2.0,1,1,1,3,3.0,3,1,30,32.5
908,Female,Loyal Customer,44,Business travel,Business,929,4,4,4,4,4,4,5.0,4,4,5,4,3.0,4,3,1,18.0
909,Male,Loyal Customer,47,Personal Travel,Eco,226,5,5,5,4,5,5,5.0,5,4,4,4,3.0,5,5,0,0.0
910,Male,Loyal Customer,38,Business travel,Business,2156,4,4,4,4,1,1,3.0,5,5,5,5,1.5,5,5,13,18.0
911,Female,Loyal Customer,58,Business travel,Eco,226,3,1,1,1,4,3,3.0,3,3,3,3,2.0,3,4,11,5.0
912,Female,disloyal Customer,37,Business travel,Eco,109,4,3,4,4,2,4,2.0,2,3,1,1,1.5,1,2,0,0.0
913,Female,Loyal Customer,14,Personal Travel,Eco,1448,4,1,4,4,2,4,2.0,2,2,5,4,1.5,3,2,0,0.0
914,Male,Loyal Customer,55,Business travel,Business,312,1,1,4,1,4,4,5.0,4,4,4,4,4.0,4,5,30,32.5
915,Male,Loyal Customer,66,Personal Travel,Eco,1379,4,3,4,3,4,4,4.0,4,1,3,2,4.0,3,4,15,5.0
916,Male,Loyal Customer,50,Business travel,Business,1015,1,1,5,1,2,4,5.0,2,2,2,2,5.0,2,4,17,6.0
917,Female,Loyal Customer,39,Business travel,Eco,391,1,4,4,4,1,1,1.0,1,3,2,4,3.0,4,1,0,0.0
918,Female,Loyal Customer,56,Business travel,Business,3304,2,1,3,3,2,3,3.0,2,2,2,2,4.0,2,4,13,11.0
919,Male,Loyal Customer,57,Business travel,Eco,919,5,1,1,1,5,5,5.0,5,4,3,4,1.5,4,5,0,0.0
920,Male,Loyal Customer,45,Personal Travel,Eco,139,4,2,4,3,1,4,1.0,1,1,4,4,3.0,4,1,0,0.0
921,Male,Loyal Customer,58,Business travel,Business,849,5,5,5,5,5,5,4.0,4,4,4,4,4.0,4,4,0,0.0
922,Male,Loyal Customer,27,Personal Travel,Eco,591,2,1,2,3,3,2,3.0,3,3,5,2,2.0,3,3,30,32.5
923,Male,Loyal Customer,39,Personal Travel,Eco,460,4,5,4,5,5,4,3.0,5,5,2,5,5.0,1,5,0,0.0
924,Female,Loyal Customer,11,Personal Travel,Eco,101,3,5,3,2,2,3,2.0,2,5,3,1,3.0,4,2,0,0.0
925,Female,disloyal Customer,23,Business travel,Eco,680,3,3,3,4,1,3,1.0,1,1,3,4,3.0,4,1,10,8.0
926,Male,Loyal Customer,51,Business travel,Business,991,3,3,3,3,3,4,4.0,3,3,3,3,1.5,3,2,0,0.0
927,Male,Loyal Customer,24,Personal Travel,Eco,599,5,0,5,1,5,5,5.0,5,2,4,3,2.0,2,5,12,0.0
928,Female,disloyal Customer,40,Business travel,Business,391,1,1,1,2,5,1,5.0,5,4,5,4,3.0,5,5,3,0.0
929,Female,Loyal Customer,39,Personal Travel,Eco,212,4,1,4,1,3,4,2.0,3,1,2,2,2.0,2,3,4,0.0
930,Female,Loyal Customer,41,Personal Travel,Eco,372,5,4,5,2,2,5,2.0,2,3,2,5,3.0,5,2,0,0.0
931,Female,Loyal Customer,62,Personal Travel,Eco,2586,1,2,1,2,1,4,5.0,1,4,3,2,5.0,4,5,0,32.5
932,Female,Loyal Customer,32,Business travel,Business,1706,0,5,0,4,2,2,2.0,2,3,3,4,5.0,5,2,0,0.0
933,Male,disloyal Customer,14,Business travel,Eco,697,4,4,4,3,3,4,3.0,3,1,2,5,3.0,3,3,0,0.0
934,Male,Loyal Customer,44,Business travel,Business,224,3,3,3,3,2,4,4.0,5,5,4,5,5.0,5,5,0,2.0
935,Male,Loyal Customer,28,Personal Travel,Eco,2173,4,5,4,5,3,4,3.0,3,4,3,4,4.0,5,3,5,0.0
936,Male,Loyal Customer,43,Personal Travel,Eco,399,3,2,5,4,1,5,1.0,1,2,3,3,4.0,4,1,0,1.0
937,Female,Loyal Customer,69,Business travel,Eco,862,1,0,0,3,3,3,4.0,4,4,1,4,3.0,4,1,0,4.0
938,Female,Loyal Customer,60,Business travel,Business,3739,1,3,3,3,1,1,1.0,1,5,1,2,1.5,2,1,27,8.0
939,Female,Loyal Customer,26,Business travel,Business,661,3,3,3,3,4,4,4.0,4,3,5,4,4.0,5,4,30,32.5
940,Female,disloyal Customer,37,Business travel,Eco,169,1,0,1,1,3,1,3.0,3,4,2,4,3.0,2,3,0,0.0
941,Male,Loyal Customer,59,Business travel,Business,309,3,2,2,2,3,2,2.0,3,3,3,3,2.0,3,4,30,32.5
942,Male,Loyal Customer,18,Personal Travel,Eco,500,5,3,5,4,1,5,1.0,1,2,1,4,2.0,3,1,0,0.0
943,Female,Loyal Customer,30,Business travel,Business,3001,4,1,4,4,4,4,4.0,4,2,1,3,3.0,3,4,0,0.0
944,Male,Loyal Customer,51,Personal Travel,Eco,1379,3,4,3,2,2,3,2.0,2,3,5,5,3.0,5,2,8,1.0
945,Female,Loyal Customer,29,Business travel,Eco Plus,685,1,4,4,4,1,1,1.0,1,4,2,3,2.0,4,1,27,18.0
946,Female,Loyal Customer,46,Personal Travel,Eco,2367,1,4,1,2,4,4,4.0,2,2,1,2,5.0,2,5,1,0.0
947,Male,Loyal Customer,43,Business travel,Business,2480,5,5,4,5,3,4,5.0,2,2,3,2,4.0,2,5,1,0.0
948,Female,Loyal Customer,16,Personal Travel,Eco,2306,2,3,1,3,1,3,3.0,4,4,5,1,3.0,2,3,30,32.5
949,Female,Loyal Customer,40,Business travel,Business,2810,2,2,2,2,5,4,4.0,4,4,4,4,3.0,4,4,0,8.0
950,Male,Loyal Customer,43,Business travel,Business,1590,1,1,1,1,3,3,5.0,4,4,5,4,5.0,4,3,0,0.0
951,Male,disloyal Customer,39,Business travel,Eco,164,2,0,2,3,1,2,1.0,1,3,2,4,4.0,4,1,0,0.0
952,Male,Loyal Customer,49,Personal Travel,Eco,1086,4,2,4,4,4,4,4.0,4,3,4,4,3.0,4,4,0,0.0
953,Female,Loyal Customer,11,Personal Travel,Eco,370,1,1,1,4,3,1,4.0,3,3,3,3,2.0,4,3,0,0.0
954,Male,Loyal Customer,51,Personal Travel,Eco,641,1,5,1,2,2,1,2.0,2,3,4,4,5.0,5,2,0,0.0
955,Male,Loyal Customer,65,Personal Travel,Eco,67,3,5,3,3,5,3,5.0,5,4,3,5,4.0,5,5,1,0.0
956,Female,Loyal Customer,61,Business travel,Business,2045,3,3,3,3,5,3,4.0,3,3,3,3,3.0,3,4,3,0.0
957,Male,disloyal Customer,25,Business travel,Business,594,2,0,2,4,5,2,5.0,5,4,4,4,3.0,4,5,19,32.5
958,Male,Loyal Customer,8,Personal Travel,Eco Plus,1068,2,5,1,2,1,1,1.0,1,3,4,1,4.0,3,1,0,0.0
959,Female,Loyal Customer,49,Business travel,Business,2045,5,5,5,5,5,5,4.0,4,4,4,4,3.0,4,5,0,0.0
960,Female,disloyal Customer,39,Business travel,Business,3739,2,2,2,2,2,4,4.0,3,2,4,5,4.0,3,4,0,0.0
961,Female,disloyal Customer,39,Business travel,Business,361,1,1,1,3,1,1,1.0,1,5,3,4,3.0,4,1,0,6.0
962,Male,Loyal Customer,61,Personal Travel,Eco,1609,3,4,3,3,1,3,1.0,1,5,3,5,4.0,5,1,0,0.0
963,Male,Loyal Customer,57,Business travel,Business,2729,4,4,5,4,4,4,5.0,5,5,5,5,3.0,5,4,0,0.0
964,Female,Loyal Customer,58,Business travel,Business,479,3,3,3,3,3,5,5.0,4,4,4,4,4.0,4,4,0,0.0
965,Male,Loyal Customer,61,Business travel,Eco,337,2,4,4,4,1,2,1.0,1,3,3,2,1.5,3,1,0,32.5
966,Male,Loyal Customer,68,Personal Travel,Business,989,1,5,0,5,4,4,4.0,4,4,0,4,5.0,4,4,0,10.0
967,Male,Loyal Customer,55,Business travel,Eco,503,3,5,5,5,2,3,2.0,2,3,3,3,1.5,4,2,3,21.0
968,Male,Loyal Customer,58,Personal Travel,Eco Plus,946,2,4,2,4,1,2,1.0,1,1,5,4,2.0,3,1,28,6.0
969,Male,Loyal Customer,49,Business travel,Business,2462,2,1,2,2,2,4,5.0,5,5,5,5,5.0,5,5,11,8.0
970,Male,Loyal Customer,46,Business travel,Business,2004,5,5,5,5,4,4,5.0,4,4,4,4,5.0,4,3,17,3.0
971,Female,Loyal Customer,27,Business travel,Eco,591,5,3,3,3,5,5,5.0,5,4,2,5,5.0,4,5,0,0.0
972,Female,Loyal Customer,54,Personal Travel,Eco,651,4,4,4,2,4,1,1.0,1,1,4,1,3.0,1,1,0,0.0
973,Female,Loyal Customer,42,Business travel,Business,216,3,3,3,3,2,4,3.0,4,4,4,3,1.5,4,4,1,4.0
974,Male,Loyal Customer,68,Personal Travel,Eco Plus,1506,1,5,0,1,1,0,1.0,1,3,1,2,4.0,5,1,8,6.0
975,Female,Loyal Customer,51,Business travel,Business,990,1,1,4,1,2,5,4.0,5,5,5,5,4.0,5,4,0,0.0
976,Male,Loyal Customer,30,Business travel,Business,3739,1,5,5,5,1,1,1.0,1,1,4,3,2.0,4,1,4,18.0
977,Male,Loyal Customer,32,Personal Travel,Eco Plus,817,3,4,3,4,5,3,3.0,5,2,5,3,2.0,3,5,0,0.0
978,Male,Loyal Customer,73,Business travel,Business,399,5,5,5,5,4,4,4.0,4,4,4,4,4.0,4,1,0,0.0
979,Male,Loyal Customer,57,Business travel,Eco,177,5,2,4,4,5,5,5.0,5,4,4,5,4.0,4,5,0,0.0
980,Male,Loyal Customer,63,Personal Travel,Eco,248,4,5,4,3,1,4,1.0,1,3,5,4,5.0,4,1,0,0.0
981,Female,Loyal Customer,57,Business travel,Eco,1211,4,1,1,1,2,4,3.0,4,4,4,4,3.0,4,3,0,0.0
982,Male,Loyal Customer,18,Business travel,Eco,1482,3,5,3,3,3,4,4.0,3,1,4,1,5.0,5,3,16,20.0
983,Female,disloyal Customer,24,Business travel,Eco,1012,1,1,1,4,3,1,3.0,3,4,2,4,5.0,4,3,30,32.5
984,Male,Loyal Customer,19,Personal Travel,Eco,248,4,5,4,4,3,4,3.0,3,5,5,5,5.0,5,3,19,16.0
985,Male,Loyal Customer,15,Personal Travel,Eco,1464,3,5,3,3,1,3,2.0,1,4,5,4,3.0,4,1,0,0.0
986,Female,Loyal Customer,51,Business travel,Business,2404,1,1,1,1,2,5,4.0,4,4,4,4,3.0,4,4,30,32.5
987,Female,disloyal Customer,39,Business travel,Business,251,1,1,1,3,2,1,2.0,2,3,4,3,4.0,4,2,25,15.0
988,Female,Loyal Customer,67,Personal Travel,Eco,1072,3,1,3,3,1,3,3.0,1,1,3,1,4.0,1,1,6,12.0
